"Homebuilder","Brand","Homebuilder Brand URL","Community Name","Community URL","Community Description","Plan ID","Marketing Headline","Current Price","Full Address","Listing URL","Listing Description","Square Footage","# of Bedrooms","# of Full Bathrooms","# of Half Bathrooms","Garage Spaces","Property Type","Website / URL","Listing Status","Price History"
"Pulte Homes","Pulte Homes","https://www.realtor.com/newconstructionhomes/builders/PulteHomes®/C-PULB-PULTEHOMES","1871 Hollywood Community","https://www.realtor.com/community-detail/1871Hollywood_1871-Hollywood-Rd-NW_Atlanta_GA_30318_Q717000080180","Featuring new homes in Atlanta offering an urban vibe from Pulte Homes, 1871 Hollywood…","695166","Teravista","490375","2506 Astaire Ct NW, Atlanta, GA 30318","https://www.realtor.com/realestateandhomes-detail/2506Astaire-Ct-NW_Atlanta_GA_30318_M94714-45269","This four-story end-unit Teravista townhome is move-in ready! This home features a 2 car tandem garage, which could also be used as a workout area. The expansive main level features a gourmet kitchen, stainless steel appliances and upgraded cabinets…","1826","3","3","1","2","Townhomes",,"Move-in Ready","[{""date"": ""Feb 16, 2025"", ""price"": 494975, ""change"": 4600, ""price_per_sqft"": 271}, {""date"": ""Jan 17, 2025"", ""price"": 490375, ""change"": -275, ""price_per_sqft"": 269}, {""date"": ""Dec 23, 2024"", ""price"": 490650, ""change"": -31140, ""price_per_sqft"": 269}, {""date"": ""Nov 29, 2024"", ""price"": 521790, ""change"": 2815, ""price_per_sqft"": 286}, {""date"": ""Nov 26, 2024"", ""price"": 518975, ""change"": -360, ""price_per_sqft"": 284}, {""date"": ""Nov 17, 2024"", ""price"": 519335, ""change"": 360, ""price_per_sqft"": 284}, {""date"": ""Oct 22, 2024"", ""price"": 549835, ""price_per_sqft"": 301}, {""date"": ""Oct 22, 2024"", ""price"": 544835, ""price_per_sqft"": 298}, {""date"": ""Sep 29, 2024"", ""price"": 518975, ""change"": -1250, ""price_per_sqft"": 284}, {""date"": ""Sep 28, 2024"", ""price"": 520225, ""change"": -3610, ""price_per_sqft"": 285}, {""date"": ""Aug 16, 2024"", ""price"": 523835, ""change"": -1000, ""price_per_sqft"": 287}, {""date"": ""Jul17 ,2024"", "" price "": 524835, "" change "": 25000, "" price_per_sqft "": 287}, {"" date "": ""May15 ,2024"", "" price "": 549835, "" change "": 5000, "" price_per_sqft "": 301}, {"" date "": ""Apr11 ,2024"", "" price "": 544835, "" change "": 3000, "" price_per_sqft "": 298}, {"" date "": ""Apr10 ,2024"", "" price "": 547835, "" change "": 5000, "" price_per_sqft "": 300}, {"" date "": ""Mar21 ,2024"", "" price "": 542835, "" price_per_sqft "": 297}, {"" date "": ""Mar20 ,2024"", "" price "": 542835}, {"" date "": ""Jan14 ,2024"", "" price "": 542835, "" change "": 9880, "" price_per_sqft "": 298}, {"" date "": ""Jan5 ,2024"", "" price "": 552715, "" change "": 32000, "" price_per_sqft "": 304}]"
"D.R. Horton","D.R. Horton","https://www.realtor.com/newconstructionhomes/builders/D.R.Horton/C-DRHB-DIVISIONS","Abbey Brook Community","https://www.realtor.com/community-detail/AbbeyBrook_18672-Oxbow-Lane_Athens_AL_35613_Q717000090497","Discover Abbey Brook, a tranquil new community nestled near Athens and Huntsville,Alabama…","ALDR",,"244900","18839 Wicklow Cir, Athens, AL 35613","https://www.realtor.com/realestateandhomes-detail/18839Wicklow-Cir_Athens_AL_35613_M94655-46099","Welcome to 18839 Wicklow Circle in Athens Alabama, one of our new homes at Abbey Brook…","1272","3","2",,"2","Single Family","https://www.drhorton.com/alabama/huntsville/athens/abbeybrook/qmis/18839-wicklow-cir.aspx","Move-in Ready","[{""date"": ""Feb5 ,2025"", "" price "": 244900, "" change "": 1000, "" price_per_sqft "": 193}, {"" date "": ""Jan22 ,2025"", "" price "": 243900, "" change "": 5000, "" price_per_sqft "": 192}, {"" date "": ""Jan20 ,2025"", "" price "": 238900, "" change "": 1000, "" price_per_sqft "": 188}, {"" date "": ""Oct25 ,2024"", "" price "": 237900, "" change "": 10090, "" price_per_sqft "": 187}, {"" date "": ""Jun18 ,2024"", "" price "": 247990, "" price_per_sqft "": 195}]"
"Pulte Homes","Pulte Homes","https://www.realtor.com/newconstructionhomes/builders/PulteHomes®/C-PULB-PULTEHOMES","1871 Hollywood Community","https://www.realtor.com/community-detail/1871Hollywood_1871-Hollywood-Rd-NW_Atlanta_GA_30318_Q717000080180","Featuring new homes in Atlanta offering an urban vibe from Pulte Homes, 1871 Hollywood…","Teravista Plan","Teravista Plan","439990","Teravista Plan","https://www.realtor.com/realestateandhomes-detail/Teravista_1871-Hollywood_1871-Hollywood-Rd-NW_Atlanta_GA_30318_P417000732050","The modern open-concept Teravista plan is a perfect fit for today's contemporary lifestyles","1826","3","3","1","1","Townhouse",,"To Be Built",
